STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT03
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-01,,,0,,,12.8,7.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-02,,,0,,,13.9,5.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-03,,,0,,,12.8,6.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-04,,,0,,,13.3,7.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-05,,,3.3,,,13.3,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-06,,,32.5,,,13.9,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-07,,,0,,,14.4,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-08,,,1,,,15,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-09,,,1.5,,,16.1,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-10,,,0,,,14.4,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-11,,,7.4,,,13.9,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-12,,,0,,,16.1,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-13,,,0,,,15.6,8.9,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-14,,,0.3,,,13.9,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-15,,,21.8,,,13.3,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-16,,,29,,,16.1,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-17,,,13.2,,,15,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-18,,,0,,,16.7,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-19,,,0,,,18.9,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-20,,,5.3,,,15,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-21,,,0,,,13.9,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-22,,,0,,,15.6,7.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-23,,,0,,,15,7.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-24,,,0,,,18.9,8.9,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-25,,,0,,,18.3,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-26,,,0,,,18.9,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-27,,,0,,,18.9,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-28,,,0,,,18.9,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-29,,,0,,,16.1,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-30,,,2,,,16.7,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-01-31,,,13,,,15.6,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-01,,,5.3,,,14.4,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-02,,,18,,,15,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-03,,,6.4,,,12.8,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-04,,,16,,,10.6,5.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-05,,,1,,,10,4.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-06,,,0,,,12.2,5.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-07,,,0,,,12.8,6.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-08,,,6.6,,,10.6,7.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-09,,,9.7,,,12.2,7.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-10,,,4.1,,,10,4.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-11,,,0,,,11.7,6.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-12,,,7.1,,,11.7,6.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-13,,,63.2,,,15.6,8.3,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-14,,,25.4,,,16.7,8.9,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-15,,,3.6,,,12.2,7.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-16,,,3.3,,,11.1,6.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-17,,,4.6,,,11.1,6.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-18,,,0,,,12.8,6.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-19,,,0,,,13.3,6.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-20,,,0,,,12.2,8.3,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-21,,,0,,,13.3,6.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-22,,,0,,,13.3,6.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-02-23,,,0,,,12.8,6.1,,
